ID,rA,rB,rC,rD,rE,rF,rG,rH,rI,rJ,rK,rL,rM,rN,rO,rP,rQ
24543,0,1,0,2,2,2,0,2,2,2,0,3,2,3,1,2,3
24544,0,1,0,2,1,2,0,2,1,2,0,3,2,3,1,2,3
24547,0,1,0,0,1,2,0,0,2,2,0,3,2,3,2,2,0
24560,0,1,3,2,1,1,3,1,1,1,3,2,1,3,1,2,3
24571,0,2,0,0,1,1,0,0,2,1,0,1,1,3,2,1,0
24572,0,1,3,2,1,2,0,3,1,2,3,2,1,3,1,2,3
24573,0,1,0,2,1,1,0,0,2,1,0,1,1,3,2,1,0
24596,3,2,0,0,1,1,0,0,2,1,0,1,1,3,2,1,0
24631,2,3,3,2,0,2,3,3,1,2,3,2,1,3,3,0,3
24916,0,1,0,2,1,2,0,2,1,2,3,1,1,3,1,2,3
24917,0,1,0,2,1,1,0,2,1,1,3,1,1,3,1,2,3
24918,2,1,3,2,1,1,0,2,1,1,3,2,1,3,1,2,3
24919,0,1,0,2,1,2,0,2,2,2,0,2,1,3,1,2,3
24920,0,1,3,3,2,1,3,3,1,1,3,2,1,3,1,2,3
24921,0,1,3,2,1,2,0,2,1,2,3,2,2,3,1,2,3
24922,0,1,0,2,1,2,0,2,1,2,0,1,1,3,1,2,3
26440,0,1,0,0,1,1,0,0,2,1,0,3,1,3,2,2,0
26442,0,1,0,2,1,1,0,2,1,2,0,1,1,3,1,2,3
26445,0,1,3,1,2,1,3,1,1,1,3,2,1,3,1,2,3
26446,0,1,0,0,1,1,0,2,1,1,3,1,1,3,1,2,3
26452,2,1,0,2,1,2,0,2,2,2,0,3,2,3,2,1,0
26453,0,1,0,0,1,1,0,0,2,1,0,3,3,3,2,2,2
26454,0,1,2,0,1,3,2,2,1,1,1,3,3,1,1,2,1
26455,0,1,3,0,1,2,0,0,1,2,0,2,1,3,1,2,3
26463,0,1,3,2,1,1,0,1,1,2,0,2,1,3,3,2,3
26464,2,1,3,2,1,1,0,1,1,2,0,2,1,3,3,2,3
26477,2,3,0,2,3,1,0,0,2,1,0,1,1,3,2,0,3
26478,2,1,0,2,3,1,0,0,2,1,0,3,1,3,2,0,0
26496,1,2,0,2,2,2,0,2,2,2,3,1,1,3,0,1,0
26498,3,2,0,2,1,1,0,2,2,1,0,1,1,3,2,1,0
26499,0,1,0,2,1,1,0,2,2,1,0,1,1,3,2,2,0
26500,3,2,0,0,1,1,0,0,2,1,0,1,1,3,2,2,0
26501,0,1,0,2,1,1,0,2,1,1,3,1,1,3,1,2,3
26502,0,1,0,2,1,1,0,0,2,1,0,1,1,3,0,2,0
26503,0,1,3,0,1,1,0,3,1,1,3,2,1,3,3,2,3
26523,2,3,3,2,1,2,3,1,1,2,0,2,1,3,3,2,3
26568,3,2,2,0,1,3,0,2,2,3,1,1,3,3,0,1,2
26569,0,1,1,0,1,2,3,1,1,2,2,0,0,3,3,2,1
26570,2,2,0,2,1,1,0,2,2,3,0,1,1,3,0,1,0
26583,3,2,2,2,1,3,2,2,2,1,1,1,3,1,2,1,2
26586,0,1,0,0,1,2,0,0,2,0,3,1,1,3,0,1,0
26595,0,1,0,0,1,1,0,0,1,3,3,1,1,3,3,2,3
26596,0,1,0,0,1,1,0,0,2,3,0,1,1,3,0,2,3
27060,0,1,2,0,1,3,2,2,2,3,2,1,1,2,2,2,0
27156,0,2,0,2,1,2,0,2,2,2,0,1,2,3,2,1,0
27705,0,1,2,0,1,3,0,0,1,3,3,1,1,3,3,3,0
27706,0,1,2,0,1,3,0,0,1,3,1,3,3,3,0,3,2
27712,3,2,2,0,2,3,2,2,2,3,1,1,3,1,2,1,2
27752,2,3,0,2,3,1,0,0,1,2,3,1,1,3,0,3,0
